SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,COUNTY
PAST SALE,September-28-2020,Single Family Residential,35 HIGH RIDGE Ln,Frankford Twp.,NJ,07822-2144,665000.0,4.0,3.5,Frankford Twp.,,105850.0,2013.0,,,,Sold,,,https://www.redfin.com/NJ/Augusta/35-High-Ridge-Ln-07822/home/79160291,GSMLS,3620617,N,Y,41.1561528,-74.672679,Sussex
PAST SALE,March-17-2022,Single Family Residential,1 Hamilton Rd,Green Twp.,NJ,07860-5448,666500.0,4.0,3.0,Green Twp.,,,,,,,Sold,,,https://www.redfin.com/NJ/Newton/1-Hamilton-Rd-07860/home/172678277,GSMLS,3712217,N,Y,40.9707284,-74.8244526,Sussex
PAST SALE,May-20-2021,Single Family Residential,4 WHITE OAK Ct,Hardyston Twp.,NJ,07419,665000.0,5.0,4.5,Hardyston Twp.,,11761.0,2007.0,,,,Sold,,,https://www.redfin.com/NJ/Hamburg/4-White-Oak-Ct-07419/home/37665478,GSMLS,3640018,N,Y,41.1548425,-74.5548112,Sussex
PAST SALE,,Single Family Residential,4 Angelo Dr,Sparta,NJ,07871,665000.0,,,,4444.0,54973.0,2002.0,,150.0,,,,,https://www.redfin.com/NJ/Sparta/4-Angelo-Dr-07871/home/37873249,,,N,Y,41.0335483,-74.5926887,Sussex
PAST SALE,,Single Family Residential,77 Trafalgar Ct,Sparta,NJ,07871,660000.0,,,,3000.0,6098.0,2019.0,,220.0,,,,,https://www.redfin.com/NJ/Sparta/77-Trafalgar-Ct-07871/home/167655313,,,N,Y,41.0783499,-74.6550018,Sussex
PAST SALE,,Single Family Residential,7 Country Ln,Sparta,NJ,07871,660000.0,,,,3240.0,41556.0,1988.0,,204.0,,,,,https://www.redfin.com/NJ/Sparta/7-Country-Ln-07871/home/37761209,,,N,Y,41.0110956,-74.6433141,Sussex
PAST SALE,April-26-2022,Single Family Residential,22 Morgan Dr,Sparta Twp.,NJ,07871-3567,1020000.0,4.0,4.0,Sparta Twp.,,77101.0,2002.0,,,,Sold,,,https://www.redfin.com/NJ/Sparta/22-Morgan-Dr-07871/home/37876800,GSMLS,3763442.0,N,Y,41.044759,-74.6416443,Sussex
PAST SALE,,Single Family Residential,22 Morgan Dr,Sussex,NJ,07461,1020000.0,,,,2210.0,80586.0,1999.0,,462.0,,,,,https://www.redfin.com/NJ/Sussex/22-Morgan-Dr-07461/home/37856862,,,N,Y,41.2097571,-74.6551815,Sussex
PAST SALE,August-23-2023,Single Family Residential,18 Oak Pkwy,Sparta Twp.,NJ,07871-2108,1071750.0,4.0,2.0,Sparta Twp.,,13068.0,1928.0,,,,Sold,,,https://www.redfin.com/NJ/Sparta/18-Oak-Pkwy-07871/home/37776862,GSMLS,3848153.0,N,Y,41.0222278,-74.6469688,Sussex
PAST SALE,June-16-2023,Vacant Land,13 Geranium Ct,Vernon Twp.,NJ,07418-1808,39000.0,,,Vernon Twp.,,11761.0,,,,,Sold,,,https://www.redfin.com/NJ/Glenwood/13-Geranium-Ct-07418/home/167659283,GSMLS,3766364.0,N,Y,41.2278019,-74.485417,Sussex
PAST SALE,June-2-2022,Vacant Land,23 Valley Rd,Sussex Boro,NJ,07461-1511,40000.0,,,Sussex Boro,,,,,,,Sold,,,https://www.redfin.com/NJ/Sussex/23-Valley-Rd-07461/home/179700625,GSMLS,3785950.0,N,Y,41.2083784,-74.6135513,Sussex
