PAMS_PIN,CLOSEST_WETLAND_ID,CLOSEST_C1_ID
1901_31_1,118064,60703
1901_25_6,101529,96470
1901_24_23,101552,72491
1901_29_1,118069,60335
1901_11_9,101479,73901
1901_12_12,20266,73901
1901_18_12,101479,73901
1901_11_8.01,101479,73901
1901_18_13.02,101479,73901
1901_25_2,69594,96355
1901_23_3,69714,96355
1901_22_2,69714,96355
1901_23_23,5709,73628
1901_24_9,69849,72491
1901_5_7.02,101435,99530
1901_9_2,101479,73006
1901_9_1.01,101479,73006
1901_3.01_1,69241,71627
1901_3_1,69037,99530
1901_5_4,69021,99530
1901_5_5,69021,99530
1901_5_6,69021,99530
1901_5_7.01,69021,99530
1901_2_3.01,69037,99530
1901_2_3,69037,58946
1901_2_12,69037,99530
1901_4_1,69121,99530
1901_5_7.04,101435,99530
1901_2_8,69121,71627
1901_2_2.01,69080,71627
1901_2_2.02,69080,71627
1901_8_2.03,20266,73006
1901_23_19,5709,72491
1901_22_1,69714,96355
1901_12_13,69714,73901
1901_12_14.02,69714,73901
1901_12_15,69714,73901
1901_23_1,101479,73901
1901_22_3,69714,96355
1901_23_25,5709,73628
1901_11_8,101479,73901
1901_23_6.02,69714,96355
1901_15_4,101479,73006
1901_14_2.01,20266,73006
1901_12_19,69714,73901
1901_12_20,69714,73901
1901_12_17,69714,73901
1901_6.01_1,20266,71627
1901_6.03_1,69250,71512
1901_8_2.02,20266,71369
1901_8_5,20266,71627
1901_8_4,20266,71369
1901_25_9,69812,73622
1901_26_15.01,69812,73622
1901_16_1,101479,73006
1901_19_5,101479,73006
1901_12_6.01,20266,73006
1901_12_18,69714,73901
1901_12_16,69714,73901
1901_8_2,20266,73006
1901_12_2.03,20266,73006
1901_12_23,69774,73945
1901_24_32,101529,72485
1901_24_33.01,101529,72485
1901_23_12,101552,72491
1901_25_5.01,101529,96470
1901_24_35,69857,72485
1901_23_13,101552,72491
1901_11_13,101479,73006
1901_25_1,101501,96470
1901_24_37,101552,72491
1901_25_5.02,101529,96470
1901_24_4,5709,72491
1901_9_3,101479,73006
1901_24_2,5709,73628
1901_18_18,101479,73901
1901_18_17,101479,73901
1901_18_16,101479,73901
1901_11_7.01,101479,73901
1901_21_5,101479,73901
1901_2_10,69241,71627
1901_4_5,69250,71627
1901_1_1,20266,71627
1901_24_36.01,69714,73945
1901_28.01_6,118064,60703
1901_21_6,101479,73901
1901_12_14.01,69714,73901
1901_11_2,101479,73901
1901_15_1.01,20266,73006
1901_16_2,101479,73006
1901_11_11,101479,73006
1901_16_3,101479,73006
1901_24_5,69849,72491
1901_24_11,69849,72491
1901_2.01_7,69037,99530
1901_24_18,5709,72491
1901_18_15,101479,73901
1901_24_34,69857,72490
1901_23_14,101552,72491
1901_24_25,101552,72491
1901_24_32.01,101529,72485
1901_2_11,69241,71627
1901_24_46.01,69714,96355
1901_26_33,101556,73622
1901_8_5.03_QFARM,20266,71627
1901_12_1.01,69714,96355
1901_12_1.02_QFARM,20266,73006
1902_129_3,71167,61330
1902_127_19,71298,61330
1902_130_4.01,118224,72542
1902_87_18.02,71272,71579
1902_102_8_QFARM,71272,71579
1902_127_16,71287,61330
1902_87_13,71275,71579
1902_134_1.04,71001,59900
1902_153_12,71044,59003
1902_135_10,70962,61395
1902_134_1.03,71001,59900
1902_135_3,70962,59900
1902_116_21_C0366,71758,73520
1902_114_3,73182,73476
1902_105.04_17,71680,73936
1902_118_2,101798,73517
1902_119_3.10,71591,73517
1902_25_7,69974,73189
1902_19_2,69974,73189
1902_35_1.05,118074,73336
1902_151_9,5115,60680
1902_144_16,70768,59900
1902_154_21,70925,93946
1902_93_3.11,71036,94691
1902_101_9.04,101714,94691
1902_1_6.07,69131,73203
1902_143_6.04,70768,59900
1902_141_5.01,70755,61420
1902_155_5.01,118177,57713
1902_49_8,101629,72747
1902_124_3,71561,61330
1902_154_48,70925,93946
1902_66_4.01,70505,72733
1902_47_2,101629,73082
1902_9_2,69972,73191
1902_111.06_5,72032,73517
1902_116_21_C0422,71758,73520
1902_105_8,71600,73598
1902_94_25,71036,72771
1902_103_2_QFARM,71359,73537
1902_73_7_QFARM,101764,73934
1902_126_5.01,71561,61330
1902_119_6.02,71407,73507
1902_111.02_29_C0104,101811,73517
1902_111_3.01,71585,58722
1902_56_3,70424,72747
1902_109_4.01_C0323,101875,70641
1902_109_1,71837,73520
1902_109_4.01_C0340,101875,70641
1902_109_4.01_C0341,101875,70641
1902_109_4.01_C0342,101875,70641
1902_109_4.01_C0343,101875,70641
1902_108_1.01,118296,70641
1902_116_13,118305,73594
1902_109_4.01,118296,73520
1902_66_2,70505,72733
1902_26_7,69974,73189
1902_116_14,118305,73594
1902_116_24.03,71837,73594
1902_28_4,69974,73189
1902_161_3_QFARM,69889,61106
1902_29_4,69974,73189
1902_159_4_QFARM,20318,93051
1902_17_1.01,69974,72233
1902_16_1,69974,72233
1902_5_80.01,70153,72229
1902_5_80,69897,72229
1902_34_6.02,101592,73189
1902_156_1.04,70448,61064
1902_69_4.08,70358,73164
1902_116_21_C0411,71758,73520
1902_109_4.01_C0013,71758,73520
1902_111.02_23,7180,73517
1902_150_1,101713,61395
1902_99_15,101714,94691
1902_90_11,71105,72771
1902_94_12,71182,72771
1902_97_4,71182,73508
1902_94_13,71182,72771
1902_34_4.01,101556,73622
1902_132_4.04,101693,72542
1902_112_5.25_QFARM,72742,73476
1902_12_10,69974,73622
1902_112_5.04,118413,72715
1902_112_5.05,118413,73476
1902_116_21_C0382,71758,73520
1902_69_4.11,70358,73169
1902_156_4.02_QFARM,70301,59772
1902_143_24,70768,59900
1902_109_4.01_C0011,71758,73520
1902_50_5,101629,73082
1902_118_5,71347,73507
1902_74_8,71299,73508
1902_73_6.01,71335,73933
1902_153_15,71044,59003
1902_151_14,5115,59900
1902_87_3,71472,73508
1902_118_31,101776,73507
1902_119_7,101787,73507
1902_45_3,101629,73082
1902_52_2,70232,72231
1902_78_22,71184,72771
1902_90_38,71182,73541
1902_90_35,71182,73541
1902_97_15,71182,73508
1902_97_11,71182,73508
1902_78_19,71184,72771
1902_78_12,71184,72775
1902_90_47,71182,72771
1902_71_2.06,70591,94691
1902_116_21_C0400,71758,73520
1902_105.03_4,71447,73928
1902_143_6.02,70768,59900
1902_6_7,69798,73618
1902_134_11.01_QFARM,70755,61420
1902_143_28,70755,61420
1902_103_14.01,70802,73715
1902_28_3,69974,73189
1902_96_1,71182,73508
1902_54_12,70232,71021
1902_62_2.02,70298,73080
1902_109_4.01_C0162,118296,73520
1902_105.01_1,71758,73520
1902_109_4.01_C0320,101875,70641
1902_107_4_QFARM,71823,72711
1902_109_4.01_C0321,101875,70641
1902_21_14,69974,73189
1902_95_24,71182,73508
1902_111.07_6,71934,73517
1902_105_6.02,71758,73520
1902_100_4,101714,94691
1902_99_37,101714,94691
1902_93_3.14,71036,72771
1902_93_3.02,71036,72771
1902_99_36,101714,94691
1902_65_1.06,70081,72229
1902_93_3.09,70998,73291
1902_132_6,70991,72542
1902_125_4,71585,58722
1902_69_17,70505,72733
1902_111_52,72349,72745
1902_111_54,72349,72745
1902_111_39,118357,72715
1902_15_1,69974,72233
1902_23_4,69974,72233
1902_159_2,70149,93051
1902_161_6,70088,58661
1902_132_1,70155,64114
1902_6_6,69798,72488
1902_7_2.07,130798,73622
1902_31_7.03,69812,73622
1902_109_4.01_C0053,71758,73520
1902_153_35_QFARM,118230,59900
1902_119_15,7167,72776
1902_128_1,101756,61330
1902_129_6_QFARM,71343,72542
1902_119_10,71407,73507
1902_109_4.01_C0310,101875,70641
1902_119_21,71646,73517
1902_157_8.17,70623,61417
1902_157_8.20,70623,61062
1902_93_1,71036,72771
1902_68_1.02,70889,73061
1902_34_2,101556,73622
1902_109_4.01_C0085,118296,73520
1902_116_21_C0360,71758,73520
1902_109_4.01_C0111,118296,73520
1902_31_14,69974,73622
1902_134_22_QFARM,70498,92346
1902_6_2,69819,72480
1902_109_4.01_C0140,118296,73520
1902_91_4,71105,72771
1902_90_9,71105,72771
1902_7_6.13,101486,96470
1902_69_23_QFARM,70657,72733
1902_93_3.13,71036,72771
1902_94_17,71182,72771
1902_109_4.01_C0213,101875,73520
1902_117_8.06_QFARM,71599,73597
1902_116_21_C0429,71758,73520
1902_1.02_10.04,20270,71372
1902_69_18,70505,72733
1902_116_39,118279,73520
1902_99_11,101714,73508
1902_151_16,5115,59900
1902_112_3.01,139756,73518
1902_111_14.03,118385,72715
1902_119_4.12,101787,73517
1902_26_5.02,69974,73189
1902_111.09_17,118357,73594
1902_111_19.11,118413,72715
1902_30_6,69974,73189
1902_106_22,71796,73929
1902_111.01_2,101811,73517
1902_93_3.01,71036,72771
1902_157_8.01,111150,61420
1902_87_12,71275,73508
1902_49_10,101629,73082
1902_111.09_20,118357,72745
1902_111_40,118357,72745
1902_111_71,72368,73594
1902_112_5.17,72958,73140
1902_31_8.02,69812,73622
1902_31_9.02,130798,73622
1902_58_6,70424,72747
1902_159_5.01,70414,63588
1902_50_8,101629,73082
1902_127_17,101756,61330
1902_109_4.01_C0304,101875,70641
1902_98_4,71228,73508
1902_109_4.01_C0315,101875,70641
1902_109_4.01_C0311,101875,70641
1902_151_25,101742,61330
1902_55_10,70232,71018
1902_55_6,70424,72747
1902_70_1.14,70451,72746
1902_10_2.01,69974,73622
1902_109_22,71758,73520
1902_7_6.05,101501,96470
1902_53_9,101629,71021
1902_112_5.21,72861,73476
1902_116_38,71758,73520
1902_15_8,69972,72231
1902_106_21,71359,73537
1902_116_21_C0383,71758,73520
1902_85_3,71212,73508
1902_125_3,71585,58722
1902_148_3,101713,61395
1902_148_2,101713,61395
1902_28_5,69974,73189
1902_109_5.03_QFARM,118345,72745
1902_121_11,101787,73517
1902_124_11.02_QFARM,101805,58722
1902_111_19.07,118400,72715
1902_111_19.20,118409,72715
1902_116_21_C0405,71758,73520
1902_98_6,71228,73508
1902_109_4.01_C0292,118296,70641
1902_116.02_2,122575,73517
1902_44_2,69974,73189
1902_106_9.07,71661,73537
1902_45_8.01,101629,72233
1902_112_5.15,72958,73140
1902_69_4.19,70439,72800
1902_69_10,118169,73715
1902_102_3.08,70734,94691
1902_157_2.02_QFARM,20302,54506
1902_21_11.01,69974,73189
1902_6_3.08,69819,72481
1902_7_3.02,69812,73622
1902_38_15,70390,73082
1902_109_4.01_C00G3,101875,70641
1902_109_4.01_C00G4,101875,70641
1902_109_4.01_C00G5,101875,70641
1902_116_21_C0394,71758,73520
1902_5_79.06,70128,72229
1902_98_9,71228,73508
1902_90_34,71182,73541
1902_124_2.01,71561,61330
1902_28_10,69974,73189
1902_112_5.02,118392,72715
1902_26_6,69974,73189
1902_5_79.01_QFARM,70191,72488
1902_75_5,71299,73541
1902_109_4.01_C0090,118296,73520
1902_71_3.07,70775,94691
1902_71_9.10,70870,73514
1902_87_17,71335,71579
1902_112.01_3,72742,73476
1902_109_4.01_C0072,71758,73520
1902_116.01_5,118279,73520
1902_116_21_C0420,71758,73520
1902_109_4.01_C0014,71758,73520
